2866.70 ( 6533.09    4.96   0.192) |  588.015 |  220.915  558.070  573.530  585.146  589.766  591.071  590.605  589.387  587.823  586.209  584.820  583.054  581.587  581.274  579.537  577.534  569.765  548.263  529.450 19
2866.40 ( 5341.83    5.40   0.262) |  784.563 |  491.212  703.513  806.736  872.059  814.128  807.461  800.833  795.418  790.920  787.096  783.812  781.085  778.181  775.043  771.506  770.785  767.968  745.723  752.693  584.486  598.009  757.629  784.662  784.633  784.612 25
2866.10 ( 5395.75    5.32   0.304) |  748.577 |  441.226  650.782  806.456  801.029  790.839  783.472  751.132  752.652  750.687  747.976  745.197  741.671  737.131  732.318  725.743  703.443  678.623  441.322  481.158  692.050  695.455  670.385  718.628 23
2865.80 ( 4008.19    5.80   0.486) | 1009.489 |  525.039  908.651 1034.230  968.924  981.734 1032.325 1021.587 1016.726 1012.789 1009.393 1005.757 1002.172  997.986  993.045  981.897  966.074  970.291  960.168  939.282  959.761  942.445  953.542 22
2865.50 ( 3595.21    6.01   0.509) | 1075.115 |  575.366  916.607 1062.135 1002.878 1072.422 1107.306 1094.487 1087.106 1081.354 1076.736 1072.174 1067.609 1063.235 1055.843 1044.804 1036.808 1037.261 1008.649  988.629  903.885 20
2865.20 ( 8349.89    4.70   0.077) |  213.005 |  112.767  208.707  185.244  200.210  206.521  209.678  211.136  211.783  211.953  211.919  211.683  211.450  211.901  211.387  211.585  211.207  209.426  200.727  203.685  211.380 20
2864.90 ( 6470.76    5.05   0.241) |  541.155 |  292.031  602.405  549.022  539.829  499.358  520.718  528.899  532.497  533.818  534.085  533.824  533.734  532.844  529.984  525.929  517.751  491.694  455.446  284.929  202.311  439.990  433.208 22
2864.60 ( 6558.20    5.11   0.224) |  527.386 |  277.576  472.160  540.434  554.685  564.735  402.276  503.882  513.150  517.057  518.552  519.076  518.941  517.951  517.292  516.895  514.515  502.908  463.529  300.903  480.827  486.096 21
2864.30 ( 8201.53    4.74   0.140) |  257.426 |  147.035  256.496  226.821  198.709  224.788  237.750  244.847  248.832  251.213  252.812  253.480  253.907  253.725  253.386  252.894  250.534  240.529  209.327 18
2864.00 ( 7080.92    5.01   0.224) |  436.543 |  206.973  414.175  377.933  363.585  395.772  411.396  419.679  424.003  426.552  427.413  427.765  426.686  423.539  419.127  409.246  366.842  303.101  204.737 18
2863.70 ( 7304.39    5.93   0.113) |  459.017 |  162.428  503.630  473.025  413.772  436.311  445.547  450.122  452.395  453.665  454.113  454.069  454.188  453.796  453.524  452.778  450.659  451.288  451.452  446.821  437.339  389.636  413.822  455.293 23
2863.40 ( 9084.37    6.55   0.039) |  255.908 |  124.111  319.536  175.506  230.276  240.501  245.598  248.606  250.509  251.766  252.653  253.304  253.885  254.349  254.760  255.141  255.374  255.590  255.639  255.682  255.687  255.594  255.830  255.751  255.174  254.478  251.681  242.061 27
2863.10 ( 9379.89    6.66   0.024) |  217.474 |   79.254  277.784  267.006  199.466  209.568  213.206  214.868  215.674  216.096  216.332  216.460  216.595  216.741  216.963  217.086  217.139  217.169  217.197  217.220  217.256  217.239  217.420  217.433  217.443  217.454  217.462  214.700  217.469 28
2862.80 ( 9514.14    6.73   0.029) |  182.047 |   75.829  275.440  244.065  106.615  159.179  169.527  174.130  176.619  178.218  179.179  179.925  180.492  180.838  181.194  181.487  181.595  181.710  181.827  181.895  181.925  181.938  181.983  181.993  182.012  182.003  182.005  180.741  181.099  125.688  181.921 30
2862.50 ( 9164.62    7.20   0.042) |  245.068 |  112.913  237.228  331.205  128.250  214.618  227.411  233.310  236.672  238.845  240.425  241.484  242.281  242.803  243.306  243.708  243.847  244.085  244.366  244.752  244.781  244.893  244.928  244.966  244.993  244.903  244.898  244.891  245.034  244.992  244.713  238.830  244.762 32
2862.20 ( 7271.31    7.80   0.094) |  655.886 |  502.455  587.694  688.656  618.673  631.555  639.029  643.844  646.896  648.812  650.102  650.900  651.148  651.078  651.122  650.964  650.964  650.494  651.188  651.610  650.958  650.767  650.434  649.101  648.895  649.021  648.383  643.438  640.421  621.455  539.617  456.541 31
2861.90 ( 7027.84    7.72   0.125) |  715.716 |  479.278  772.471  790.823  747.574  703.797  724.016  671.712  692.216  700.185  704.575  707.150  708.869  709.824  710.523  710.936  711.399  711.767  712.186  711.988  711.693  711.357  711.134  710.497  709.118  706.467  705.226  700.331  693.899  649.243  510.558  613.384 31
