~A D.M	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43
2866.7	9029	6450	4536	2887	1864	1184	679	437	259	145	96	52	26	21	13	11	7	3	3	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2866.4	8894	6461	4434	2934	1871	1199	713	452	277	163	92	59	36	22	11	9	10	3	5	0	1	3	1	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2866.1	8862	6244	4346	2875	1823	1183	694	421	272	155	100	60	32	20	18	8	9	3	1	3	3	2	3	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2865.8	8810	6271	4259	2863	1802	1104	754	454	252	167	95	60	37	33	18	5	7	6	2	4	2	4	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
2865.5	8709	6268.5	4239	2764.5	1831.5	1042.5	715.5	439.5	237	156	93	52.5	42	27	12	6	10.5	4.5	4.5	3	0	1.5	1.5	0	1.5	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0
2865.2	8700	6335	4312	2880	1878	1131	688	463	274	178	104	46	49	22	18	14	10	3	2	4	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2864.9	8692	6351	4362	2915	1929	1168	737	471	276	162	87	61	47	27	18	14	6	5	2	1	2	1	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2864.6	8804	6375	4270	2988	1894	1149	755	428	285	173	109	73	40	24	19	18	11	5	1	0	3	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2864.3	8815	6440	4320	2946	1942	1227	753	433	245	186	107	76	44	26	20	15	7	4	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2864.0	8748	6418.5	4434	2905.5	1855.5	1255.5	774	421.5	295.5	168	120	82.5	45	30	25.5	9	6	6	3	1.5	1.5	1.5	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2863.7	9217	6873	4978	3460	2287	1575	1086	682	491	340	208	155	100	73	57	27	21	21	14	11	4	3	7	0	0	1	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2863.4	9820	7692	5724	4264	3058	2156	1533	1095	774	551	376	271	191	132	105	69	74	51	39	31	13	19	15	8	6	4	4	2	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0
2863.1	9937	7781	5840	4295	3246	2303	1680	1173	837	607	423	300	203	160	126	95	70	52	38	30	17	17	10	11	9	9	2	3	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0
2862.8	10013	7703	5878	4281	3284	2331	1693	1156	894	607	433	344	225	157	151	102	68	53	50	24	31	18	16	9	11	9	3	4	1	2	0	1	1	0	0	0	0	0	0	0	0	0	0
2862.5	10066	7820	5929	4543	3374	2464	1829	1328	937	723	532	417	290	217	189	126	88	48	71	37	31	30	23	11	13	10	12	4	6	3	1	4	1	1	0	0	0	0	0	0	0	0	0
2862.2	10102.5	7863	5926.5	4675.5	3318	2491.5	1920	1348.5	936	712.5	589.5	447	300	232.5	162	138	73.5	61.5	64.5	42	33	30	18	13.5	12	13.5	7.5	9	7.5	3	3	1.5	1.5	1.5	0	0	0	0	0	0	0	1.5	0
2861.9	10169	7813	5950	4600	3250	2436	1773	1305	925	720	500	411	287	219	148	111	79	79	59	43	30	25	21	17	9	9	6	8	4	1	3	1	1	0	1	0	0	1	1	0	0	1	0
2861.6	10003	7684	5672	4271	3172	2241	1616	1178	818	589	411	308	233	184	139	95	76	57	45	23	29	21	16	14	8	6	5	2	2	0	4	3	0	0	1	2	1	1	1	0	0	0	0
2861.3	9934	7741	5620	4280	3053	2157	1600	1167	784	564	404	312	238	156	132	83	76	51	47	44	21	15	14	10	5	4	5	3	3	0	2	1	0	0	0	2	1	0	0	0	0	0	0
2861.0	9871	7810	5840	4384	3088	2233	1612	1207	879	625	508	354	245	189	126	104	79	50	44	38	22	22	9	16	6	7	4	4	4	2	1	4	1	0	1	0	0	0	1	1	0	1	0
2860.7	9813	7780.5	5926.5	4264.5	2962.5	2145	1567.5	1069.5	825	556.5	427.5	322.5	213	160.5	117	117	76.5	40.5	45	21	34.5	22.5	7.5	15	7.5	4.5	7.5	1.5	0	1.5	0	6	0	1.5	1.5	0	0	0	1.5	0	0	0	0
2860.4	9896	7597	5698	4106	2891	2049	1512	1010	722	566	378	274	204	139	100	92	71	52	42	27	26	24	6	7	4	5	5	3	2	1	1	3	1	2	1	0	0	2	1	0	0	0	0
2860.1	9955	7501	5590	3986	2817	1934	1396	934	679	495	346	275	184	142	113	75	48	50	36	30	18	24	11	9	8	4	3	3	3	2	3	1	1	2	1	0	0	0	1	0	0	0	0
2859.8	9767	7223	5446	3723	2583	1680	1112	699	508	329	204	192	126	99	61	51	35	34	16	14	9	12	9	7	5	3	1	1	0	2	3	0	4	0	0	0	0	0	0	0	0	1	0
2859.5	9662	7250	5158	3548	2392	1535	897	557	374	211	145	99	65	44	26	18	15	13	7	4	1	3	2	4	2	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
2859.2	9580.5	7198.5	4990.5	3393	2337	1450.5	888	529.5	349.5	204	135	82.5	49.5	33	15	19.5	9	9	6	0	1.5	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2858.9	9513	7096	4941	3440	2303	1451	919	580	353	252	125	101	53	30	24	12	5	5	4	3	2	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2858.6	9514	7193	5094	3483	2316	1549	933	643	391	235	134	79	48	29	23	13	13	3	6	2	1	1	0	1	2	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
2858.3	9674	7395	5303	3636	2513	1649	1070	705	444	258	159	95	64	44	27	18	18	3	9	5	1	1	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
2858.0	9748	7454	5527	3740	2613	1658	1077	726	486	317	207	123	93	54	32	23	20	9	8	9	5	2	3	0	1	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2857.7	9627	7629	5562	3799.5	2632.5	1668	1131	748.5	454.5	318	195	138	99	69	30	19.5	16.5	13.5	10.5	3	3	0	1.5	0	0	1.5	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0
2857.4	9679	7499	5399	3763	2612	1684	1132	708	466	307	184	135	88	78	40	25	12	15	6	3	3	4	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
2857.1	9738	7364	5276	3759	2504	1628	1120	726	463	315	172	133	91	78	37	35	14	14	9	6	6	4	2	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2856.8	9763	7276	5151	3677	2412	1581	1060	697	460	292	186	115	74	60	33	28	17	10	15	4	6	2	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2856.5	9632	7182	5093	3547	2265	1476	940	626	414	214	184	91	69	34	29	14	10	5	8	2	6	2	1	1	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2856.2	9460.5	7225.5	5023.5	3427.5	2296.5	1462.5	880.5	576	343.5	196.5	138	70.5	67.5	33	24	6	7.5	4.5	6	3	4.5	3	0	4.5	1.5	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0
2855.9	9550	7040	4984	3375	2217	1444	871	553	304	185	117	75	52	33	18	12	12	8	6	1	2	2	1	4	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
2855.6	9317	6789	4828	3211	2091	1341	821	559	327	198	126	86	51	31	19	18	18	12	5	0	5	5	3	0	0	1	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
2855.3	8881	6514	4655	3008	1990	1211	785	502	319	200	124	80	56	23	25	22	11	8	4	3	4	6	2	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
2855.0	8811	6360	4547	3016	2013	1253	827	489	345	189	135	78	63	32	23	22	11	8	6	1	0	5	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2854.7	8989.5	6445.5	4656	3100.5	2109	1401	879	570	357	228	163.5	93	58.5	37.5	36	21	21	7.5	7.5	1.5	0	1.5	1.5	1.5	1.5	3	0	1.5	0	3	1.5	0	0	0	0	0	0	0	0	0	0	0	0
2854.4	9226	6887	5043	3479	2339	1534	1030	676	487	308	235	141	95	62	55	33	28	14	11	10	5	3	5	4	4	4	1	1	2	2	1	0	1	0	0	1	0	0	0	0	0	0	0
2854.1	9428	7209	5293	3778	2542	1690	1130	762	523	338	270	158	101	81	61	43	25	23	17	13	9	7	5	2	4	3	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0
2853.8	9376	7284	5213	3686	2503	1725	1111	786	445	297	238	135	106	71	43	31	20	19	10	9	9	6	1	3	5	0	1	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0
2853.5	9336	7285	5234	3747	2552	1722	1194	791	504	333	239	158	99	67	41	28	22	20	13	14	3	4	2	4	7	0	2	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0
2853.2	9655.5	7495.5	5493	3976.5	2797.5	1990.5	1300.5	970.5	609	414	318	234	153	102	57	49.5	43.5	22.5	21	21	9	3	1.5	6	4.5	1.5	3	3	0	0	0	1.5	0	0	0	0	0	1.5	0	0	0	0	0
2852.9	9582	7131	5372	3923	2704	1911	1319	887	568	388	304	203	134	101	59	39	49	18	19	17	11	7	1	6	3	3	2	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
2852.6	9506	7270	5455	3954	2745	1935	1361	959	617	449	357	231	170	117	76	58	44	35	27	20	11	7	3	8	5	5	4	2	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0
2852.3	9765	7547	5725	4218	3077	2170	1545	1118	771	556	425	294	233	144	120	84	51	52	44	29	23	11	14	8	7	4	3	1	2	5	2	2	0	0	0	2	0	0	0	0	0	0	0
2852.0	9770	7478	5521	4107	2874	2068	1511	1072	761	470	355	242	167	114	115	66	47	42	27	20	29	12	8	5	9	4	0	0	1	1	2	2	1	0	0	1	0	0	0	0	0	0	0
2851.7	9568.5	7299	5220	3736.5	2602.5	1699.5	1201.5	880.5	591	351	285	165	105	64.5	60	48	27	19.5	16.5	12	13.5	3	1.5	1.5	4.5	1.5	0	0	0	0	0	1.5	1.5	0	0	0	0	0	0	0	0	0	0
2851.4	9340	7140	5104	3560	2439	1638	1012	713	460	261	203	124	82	47	34	23	15	10	11	9	1	1	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2851.1	9306	6996	5142	3527	2401	1616	995	626	400	293	158	99	76	30	35	12	18	7	6	4	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
2850.8	9309	7006	5216	3679	2502	1653	1074	647	441	297	172	121	91	41	33	10	13	5	2	4	2	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0
2850.5	9248	7088	5144	3588	2522	1608	1070	680	438	301	191	103	91	47	28	23	19	9	3	6	2	1	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
2850.2	9417	7170	5085	3612	2394	1600.5	1060.5	699	432	316.5	172.5	108	79.5	55.5	31.5	24	13.5	13.5	6	6	1.5	0	3	0	3	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0
2849.9	9124.5	6687.75	4613.25	3348	2061	1365	846.75	543	375.75	240.75	126	77.25	48.75	32.25	24	15	8.25	9.75	4.5	1.5	0.75	1.5	1.5	0	0.75	0	0.75	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0
2849.6	9040	6388	4423	3126	1903	1282	809	512	331	209	131	77	46	26	24	16	1	8	3	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2849.3	9227	6673	4663	3226	2020	1338	839	519	350	223	137	78	48	31	26	11	6	8	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2849.0	9276	6747	4842	3265.5	2058	1359	802.5	534	318	195	147	76.5	51	28.5	21	15	10.5	7.5	1.5	1.5	0	0	0	0	1.5	1.5	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0
2848.7	9181	6770	4711	3128	2081	1301	777	510	301	195	126	62	51	28	11	10	9	5	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
2848.4	9153	6675	4592	3127	2049	1316	813	524	272	185	121	74	45	27	17	5	3	2	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2848.1	9270	6709	4764	3221	2054	1349	888	502	307	174	104	88	35	25	19	8	6	1	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2847.8	9324	6730.5	4863	3261	2140.5	1425	882	523.5	330	204	93	78	49.5	25.5	12	4.5	10.5	0	0	1.5	0	1.5	1.5	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2847.5	9125	6645	4724	3173	2097	1331	784	532	326	213	107	62	47	27	9	7	8	0	2	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2847.2	9117	6704	4655	3113	2069	1283	711	454	291	187	117	60	36	29	14	11	4	4	5	1	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
2846.9	9350	6785	4830	3187	2078	1391	782	450	296	172	100	59	50	27	19	11	4	4	4	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2846.6	9395	6956	4932	3250	2089	1304	849	479	293	180	101	71	46	13	13	10	5	2	4	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2846.3	9255	6949.5	4882.5	3295.5	2166	1230	847.5	453	291	183	117	78	39	16.5	12	7.5	3	1.5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2846.0	9073	6755	4804	3292	2114	1242	799	467	312	159	108	73	38	23	14	3	3	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2845.7	9205	6752	4754	3322	2099	1320	828	526	319	194	112	60	50	24	15	3	5	2	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2845.4	9436	6853	4746	3235	2128	1365	814	532	298	206	105	58	49	27	17	13	7	3	1	1	2	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
2845.1	9343.5	6931.5	4693.5	3112.5	2068.5	1338	861	466.5	288	222	111	64.5	45	33	15	12	7.5	4.5	1.5	0	3	0	0	0	1.5	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0
2844.8	9055	6692	4634	3079	2012	1260	837	488	288	189	106	58	42	23	17	9	9	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2844.5	8930	6467	4556	3104	2042	1249	820	519	261	166	105	57	46	22	17	9	7	1	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2844.2	9088	6637	4727	3206	2073	1290	890	552	270	189	111	81	55	27	27	9	9	4	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2843.9	9282	6890	5044	3382	2316	1482	1025	563	346	204	132	102	67	29	30	16	6	5	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2843.6	9340.5	7081.5	5193	3553.5	2550	1611	1104	673.5	441	253.5	177	112.5	70.5	52.5	33	21	4.5	10.5	4.5	1.5	3	1.5	1.5	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2843.3	9539	7273	5299	3736	2424	1682	1113	710	485	266	179	114	72	53	26	22	10	4	11	4	1	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2843.0	9530	7213	5103	3533	2265	1597	1009	604	391	235	150	86	64	38	19	15	9	7	8	2	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2842.7	9384	7031	4916	3498	2269	1537	933	607	378	247	142	82	56	45	29	15	12	7	5	6	3	1	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
